unicode 15.1.0
lower 01E0 01E1
lower 01E2 01E3
lower 01E4 01E5
lower 01E6 01E7
lower 01E8 01E9
lower 01EA 01EB
lower 01EC 01ED
lower 01EE 01EF
lower 01F1 01F3
lower 01F2 01F3
lower 01F4 01F5
lower 01F6 0195
lower 01F7 01BF
lower 01F8 01F9
lower 01FA 01FB
lower 01FC 01FD
lower 01FE 01FF
lower 0200 0201
lower 0202 0203
lower 0204 0205
lower 0206 0207
lower 0208 0209
lower 020A 020B
lower 020C 020D
lower 020E 020F
lower 0210 0211
lower 0212 0213
lower 0214 0215
lower 0216 0217
lower 0218 0219
lower 021A 021B
lower 021C 021D
lower 021E 021F
lower 0220 019E
lower 0222 0223
lower 0224 0225
lower 0226 0227
lower 0228 0229
lower 022A 022B
lower 022C 022D
